name,title,release_date
Shock_%281946_film%29,Shock,10-01-1946
Short_Circuit,Short Circuit,09-05-1986
Sleeper_%282005_film%29,Sleeper,19-05-2005
Sostiene_Pereira,Sostiene Pereira,22-03-1996
Sostiene_Pereira,Sostiene Pereira,03-07-1996
Squanto:_A_Warrior%27s_Tale,Squanto: A Warrior's Tale,28-10-1994
Starman_%28film%29,Starman,14-12-1984
Sunshine_State_%28film%29,Sunshine State,19-05-2002
Sunshine_State_%28film%29,Sunshine State,21-06-2002
Tabu_%28film%29,Tabu,01-08-1931
Tales_from_the_Crypt_%28film%29,Tales from the Crypt,08-03-1972
Demon_Knight,Tales from the Crypt Presents: Demon Knight,13-01-1995
Tart_%28film%29,Tart,15-06-2001
Taxi_%281998_film%29,Taxi,08-04-1998
Taxi_%282004_film%29,Taxi,06-10-2004
Teaching_Mrs._Tingle,Teaching Mrs. Tingle,20-08-1999
The_Admiral_Was_a_Lady,The Admiral Was a Lady,04-08-1950
The_Adventures_of_Robin_Hood_%28film%29,The Adventures of Robin Hood,14-05-1938
The_Alchemist_%28film%29,The Alchemist,31-05-1985
The_American_President,The American President,17-11-1995
The_Baby-Sitters_Club_%28film%29,The Baby-Sitters Club,18-08-1995
The_Battle_of_the_River_Plate_%28film%29,The Battle of the River Plate,30-11-1956
The_Beast_Within,The Beast Within,12-02-1982
The_Big_Bounce_%282004_film%29,The Big Bounce,30-01-2004
The_Big_Fix,The Big Fix,06-10-1978
The_Big_Kahuna_%28film%29,The Big Kahuna,28-04-2000
The_Bourne_Identity_%282002_film%29,The Bourne Identity,14-06-2002
The_Boys_from_Brazil_%28film%29,The Boys from Brazil,05-10-1978
The_Buccaneer_%281938_film%29,The Buccaneer,04-02-1938
The_Caine_Mutiny_%28film%29,The Caine Mutiny,24-06-1954
The_Circus_%28film%29,The Circus,06-01-1928
The_Cotton_Club_%28film%29,The Cotton Club,14-12-1984
The_Count_of_Monte_Cristo_%281934_film%29,The Count of Monte Cristo,29-08-1934
The_Count_of_Monte_Cristo_%281954_film%29,The Count of Monte Cristo,14-01-1954
The_Count_of_Monte_Cristo_%281954_film%29,The Count of Monte Cristo,20-08-1954
The_Count_of_Monte_Cristo_%282002_film%29,The Count of Monte Cristo,25-01-2002
The_Craft_%28film%29,The Craft,03-05-1996
The_Crow:_City_of_Angels,The Crow: City of Angels,30-08-1996
The_Damned_%281969_film%29,The Damned,14-10-1969
The_Deceiver_%28film%29,The Deceiver,21-11-1931
The_Devil%27s_Advocate_%28film%29,The Devil's Advocate,17-10-1997
The_Diary_of_Anne_Frank_%281959_film%29,The Diary of Anne Frank,18-03-1959
The_Edge_%281997_film%29,The Edge,26-09-1997
The_Englishman_Who_Went_Up_a_Hill_But_Came_Down_a_Mountain,The Englishman Who Went Up a Hill But Came Down a Mountain,12-05-1995
The_Englishman_Who_Went_Up_a_Hill_But_Came_Down_a_Mountain,The Englishman Who Went Up a Hill But Came Down a Mountain,04-08-1995
The_Face_Behind_the_Mask_%281941_film%29,The Face Behind the Mask,16-01-1941
The_Getaway_%281972_film%29,The Getaway,13-12-1972
The_Haunted_Mansion_%28film%29,The Haunted Mansion,26-11-2003
The_Island_%282005_film%29,The Island,22-07-2005
The_King_of_Comedy_%281983_film%29,The King of Comedy,18-02-1983
The_Lady_Vanishes_%281938_film%29,The Lady Vanishes,01-11-1938
The_Letter_%281929_film%29,The Letter,13-04-1929
The_Letter_%281940_film%29,The Letter,22-11-1940
The_Libertine_%281969_film%29,The Libertine,15-05-1969
The_Life_and_Times_of_Rosie_the_Riveter,The Life and Time of Rosie the Riveter,27-09-1980
The_Lodger:_A_Story_of_the_London_Fog,The Lodger: A Story of the London Fog,14-02-1927
The_Mark_of_Zorro_%281920_film%29,The Mark of Zorro,27-11-1920
The_Messenger:_The_Story_of_Joan_of_Arc,The Messenger: The Story of Joan of Arc,12-11-1999
The_Miracle_of_Morgan%27s_Creek,The Miracle of Morgan's Creek,05-01-1944
The_Mother_%28film%29,The Mother,14-11-2003
The_Mummy_%281932_film%29,The Mummy,22-12-1932
The_Mummy_%281959_film%29,The Mummy,25-09-1959
The_Mummy_%281959_film%29,The Mummy,16-12-1959
The_Party_%28film%29,The Party,04-04-1968
The_Phantom_of_the_Opera_%281925_film%29,The Phantom of the Opera,25-11-1925
The_Princess_Diaries_2:_Royal_Engagement,The Princess Diaries 2: Royal Engagement,11-08-2004
The_Public_Defender,The Public Defender,01-08-1931
The_Raven_%281963_film%29,The Raven,25-01-1963
The_Red_Shoes_%281948_film%29,The Red Shoes,06-09-1948
The_River_%281938_film%29,The River,04-02-1938
The_Rose_%28film%29,The Rose,09-11-1979
"The_Russians_Are_Coming,_the_Russians_Are_Coming","The Russians Are Coming, the Russians Are Coming",25-05-1966
The_Score_%28film%29,The Score,13-07-2001
The_Serpent_and_the_Rainbow_%28film%29,The Serpent and the Rainbow,05-02-1988
The_Serpent_and_the_Rainbow_%28film%29,The Serpent and the Rainbow,11-05-1988
The_Serpent_and_the_Rainbow_%28film%29,The Serpent and the Rainbow,10-06-1988
The_Shooter_%281995_film%29,The Shooter,15-12-1995
The_Song_Remains_the_Same_%28film%29,The Song Remains the Same,20-10-1976
The_Taking_of_Pelham_One_Two_Three_%281974_film%29,The Taking of Pelham One Two Three,02-10-1974
The_Taxi_Dancer,The Taxi Dancer,05-02-1927
The_Thief_of_Bagdad_%281924_film%29,The Thief of Bagdad,18-03-1924
The_Thin_Blue_Line_%28film%29,The Thin Blue Line,25-08-1988
Three_Comrades_%28film%29,Three Comrades,02-06-1938
Three_Kings_%281999_film%29,Three Kings,01-10-1999
Throw_Momma_from_the_Train,Throw Momma from the Train,11-12-1987
Thunderbolt_%281910_film%29,Thunderbolt,12-11-1910
Tillie%27s_Punctured_Romance_%281914_film%29,Tillie's Punctured Romance,14-11-1914
To_Be_or_Not_to_Be_%281942_film%29,To Be or Not to Be,06-03-1942
To_Each_His_Own_%28film%29,To Each His Own,12-03-1946
"To_Sir,_with_Love","To Sir, with Love",14-06-1967
"To_Sir,_with_Love","To Sir, with Love",29-10-1967
Topaz_%281969_film%29,Topaz,19-12-1969
Tora%21_Tora%21_Tora%21,Tora! Tora! Tora!,23-09-1970
Tower_of_London_%281962_film%29,Tower of London,24-10-1962
Toys_%28film%29,Toys,18-12-1992
Trainspotting_%28film%29,Trainspotting,23-02-1996
Tremors_%28film%29,Tremors,19-01-1990
Tromeo_and_Juliet,Tromeo & Juliet,28-02-1997
"Truly,_Madly,_Deeply","Truly, Madly, Deeply",03-05-1991
Twisted_%282004_film%29,Twisted,27-02-2004
Two_Arabian_Knights,Two Arabian Knights,23-09-1927
Underworld:_Evolution,Underworld: Evolution,20-01-2006
Unforgettable_%28film%29,Unforgettable,23-02-1996
Vanishing_Point_%281971_film%29,Vanishing Point,13-03-1971
Vanity_Fair_%282004_film%29,Vanity Fair,01-09-2004
Vanity_Fair_%282004_film%29,Vanity Fair,14-01-2005
Velvet_Goldmine,Velvet Goldmine,06-11-1998
Wahnfried_%28film%29,Wahnfried,11-06-1986
What_About_Bob%3F,What About Bob?,17-05-1991
"What%27s_Up,_Doc%3F_%281972_film%29","What's Up, Doc?",10-03-1972
Where_Are_My_Children%3F,Where Are My Children?,16-04-1916
Where_the_Heart_Is_%282000_film%29,Where the Heart Is,28-04-2000
Who%27s_Harry_Crumb%3F,Who's Harry Crumb?,03-02-1989
Zakhmi_Sipahi,Zakhmi Sipahi,26-05-1995
